datetime,nat_demand,T2M_toc,QV2M_toc,TQL_toc,W2M_toc,T2M_san,QV2M_san,TQL_san,W2M_san,T2M_dav,QV2M_dav,TQL_dav,W2M_dav,Holiday_ID,holiday,school
03-01-2015 01:00,970.345,25.86525879,0.018576382,0.016174316,21.85054582,23.48244629,0.017271755,0.001855373,10.32894873,22.66213379,0.016562222,0.09609985,5.364147952,0,0,0
03-01-2015 02:00,912.1755,25.89925537,0.018653292,0.016418457,22.16694428,23.39925537,0.017264742,0.001327038,10.68151714,22.57894287,0.016509432,0.087646484,5.572471346,0,0,0
03-01-2015 03:00,900.2688,25.93728027,0.01876786,0.015480042,22.45491088,23.34353027,0.017211463,0.001428127,10.87492379,22.53103027,0.016479041,0.07873535,5.871183745,0,0,0
03-01-2015 04:00,889.9538,25.95754395,0.018890057,0.016273499,22.11048087,23.23879395,0.017127667,0.002598763,10.51862016,22.51223145,0.016486797,0.06838989,5.883621114,0,0,0
03-01-2015 05:00,893.6865,25.97384033,0.018981151,0.017280579,21.18608852,23.07540283,0.017058544,0.001729012,9.733588918,22.48165283,0.016455822,0.06436157,5.611723559,0,0,0
03-01-2015 06:00,879.2323,26.03414307,0.019079996,0.014541626,20.06203782,22.99508057,0.01702769,0.001485348,9.08727316,22.45601807,0.016409708,0.061538696,5.280351132,0,0,0
03-01-2015 07:00,932.4876,26.6914917,0.019331587,0.006645203,21.62349567,24.2852417,0.017424239,0.002176285,11.39539342,22.9493042,0.016569747,0.060897827,5.126910803,0,0,0
03-01-2015 08:00,1048.972,27.67406616,0.019369703,0.00686264,23.775317,26.18969116,0.018072706,0.00453949,12.872866,24.08812866,0.016676527,0.05619812,5.060610609,0,0,0
03-01-2015 09:00,1167.9074,28.76040039,0.019171301,0.010231018,24.6361515,27.91665039,0.018454138,0.004291534,14.54802667,25.47915039,0.016645972,0.051071167,4.915658463,0,0,0
03-01-2015 10:00,1257.5069,29.76665649,0.018759238,0.009017944,25.86267136,29.17290649,0.018675314,0.00492096,15.08168788,26.70415649,0.016607748,0.058685303,4.685579709,0,0,0
03-01-2015 11:00,1254.583,30.52376709,0.018408278,0.004322052,26.82808151,30.07064209,0.018820265,0.00743866,15.28723923,27.64876709,0.01673744,0.07723999,4.069101872,0,0,0
03-01-2015 12:00,1216.9004,30.98180542,0.018133579,0.00279808,26.65431045,30.63805542,0.018843113,0.009872437,15.28092683,28.13805542,0.017263828,0.095458984,3.122228324,0,0,0
03-01-2015 13:00,1202.1556,31.21120605,0.017904576,0.0026474,25.75416055,30.88308105,0.018789586,0.01342392,15.03815734,28.33620605,0.017370518,0.11364746,2.90053138,0,0,0
03-01-2015 14:00,1197.2616,31.15651855,0.017744431,0.001464844,24.90217224,30.82839355,0.018728623,0.016586304,14.69807932,28.23464355,0.01738585,0.1281128,2.914702659,0,0,0
03-01-2015 15:00,1169.0034,30.81676636,0.01765308,0.000401378,24.21445514,30.45739136,0.018713566,0.018455505,14.07604797,27.91051636,0.01740894,0.12640381,3.026640617,0,0,0
03-01-2015 16:00,1136.7054,30.05721436,0.017706675,2.70E-05,23.76680031,29.77596436,0.018935008,0.018684387,12.47207795,27.29158936,0.017500682,0.11956787,3.247855434,0,0,0
03-01-2015 17:00,1101.9447,28.80245361,0.018042427,8.37E-13,22.75511413,28.47432861,0.019415718,0.024085999,9.446227274,26.23995361,0.017706733,0.119659424,3.290524877,0,0,0
03-01-2015 18:00,1107.0406,27.36635742,0.018568844,8.37E-13,20.67880942,26.56948242,0.019148678,0.028442383,7.084643851,24.96010742,0.017905086,0.11782837,3.331619551,0,0,0
03-01-2015 19:00,1142.1548,26.61394653,0.018851262,0.000406981,19.92638635,25.81707153,0.018851262,0.024963379,7.028678289,24.23894653,0.017653447,0.110961914,4.027541452,0,0,0
03-01-2015 20:00,1097.2334,26.26726685,0.018889746,0.00142622,19.42842398,25.25164185,0.018554052,0.021995544,7.178384138,23.73601685,0.017432531,0.105407715,4.50568921,0,0,0
